id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,Weighted_Average_MR_2010,Weighted_Average_DR_2010,Weighted_Average_HR_2010
2787,5187,5131,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,5579.36938957,1368859.28239,112.79717447257016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2788,5188,5132,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1586.74451913,119666.707946,114.27701199957968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2754,5189,5133,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,5940.72984609,2026994.64572,114.56873832806788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2939,5190,5134,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,3856.9262517,523651.178785,116.90801425465773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3148,5191,5135,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3052.77949746,448321.468277,112.33322518143217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3090,5192,5136,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,8222.30796178,1577371.10238,111.06601102991011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2825,5193,5137,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,4859.06638074,571229.212639,114.94250392208798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3145,5194,5138,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3418.92695811,519454.0081,112.07798827161722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,5195,5139,I,AMESBURY,MA,"AMESBURY,MA",MVPC,0,,8584.63990649,3581006.50193,193.68097778075906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,5196,5140,I,AMESBURY,MA,"AMESBURY,MA",MVPC,0,,8312.50246863,2687253.75461,192.79054566827926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2832,5197,5150,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,4399.42631443,818055.693671,114.0568595181523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207146,5198,5141,I,PORTSMOUTH,NH,"PORTSMOUTH,NH",,0,,10924.1579094,1125979.43885,216.45568288191782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207148,5199,5142,I,PORTSMOUTH,NH,"PORTSMOUTH,NH",,0,,7522.02968418,1105472.94551,215.61821048185686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207147,5200,5143,I,NEWINGTON,NH,"NEWINGTON,NH",,0,,32340.9004176,21362626.0101,212.69994737630992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
